Monat/Jahr; Geschäftsklima_index_saison_bereinigt;Geschäftslage_index_saison_bereinigt;Geschäftserwartungen_index_saison_bereinigt; Geschäftsklima_salden_saison_bereinigt;Geschäftslage_salden_saison_bereinigt;Geschäftserwartungen_salden_saison_bereinigt;ifo_geschäftsunsicherheit;wahrscheinlichkeit_expansive_entwicklung
 03/2007;100,8;99,9;101,6;20,2;27,7;13,0;;62,9
 04/2007;101,1;100,8;101,3;20,9;29,6;12,5;;85,4
 05/2007;101,1;100,5;101,8;21,1;28,9;13,5;;88,6
 06/2007;99,9;98,9;100,9;18,4;25,4;11,7;;45,7
 07/2007;100,2;99,2;101,1;19,0;26,1;12,1;;51,9
 08/2007;99,8;99,1;100,6;18,2;25,7;11,0;;41,0
 09/2007;99,3;98,9;99,7;17,0;25,3;9,0;;29,3
 10/2007;99,8;99,7;100,0;18,2;27,1;9,7;;57,8
 11/2007;98,7;98,7;98,7;15,8;24,9;7,0;;16,7
 12/2007;98,8;97,8;99,8;16,0;22,8;9,4;;21,3
 01/2008;98,2;98,7;97,6;14,6;25,0;4,6;;19,2
 02/2008;98,2;98,9;97,5;14,6;25,3;4,4;;26,1
 03/2008;98,2;99,1;97,3;14,6;25,7;4,0;;31,8
 04/2008;97,1;98,5;95,7;12,2;24,4;0,6;;26,2
 05/2008;96,8;97,9;95,6;11,5;23,1;0,5;;17,4
 06/2008;95,7;97,0;94,3;9,1;21,1;-2,2;;7,2
 07/2008;92,4;93,7;91,1;2,0;13,4;-8,9;;0,2
 08/2008;91,5;93,4;89,7;0,1;12,8;-11,9;;2,3
 09/2008;91,2;92,2;90,1;-0,7;10,1;-11,0;;7,9
 10/2008;87,1;90,5;83,8;-9,7;6,2;-24,3;;0,0
 11/2008;84,3;87,3;81,5;-15,6;-1,1;-29,1;;0,2
 12/2008;80,9;82,5;79,3;-23,2;-12,0;-33,8;;0,1
 01/2009;81,7;82,1;81,3;-21,4;-12,9;-29,5;;29,4
 02/2009;81,4;80,1;82,7;-22,1;-17,4;-26,7;;21,7
 03/2009;79,7;77,5;82,0;-25,7;-23,3;-28,1;;5,4
 04/2009;81,5;78,4;84,8;-21,8;-21,4;-22,3;;78,4
 05/2009;82,0;77,7;86,6;-20,7;-23,0;-18,5;;86,8
 06/2009;83,8;77,8;90,1;-16,9;-22,7;-11,0;;99,5
 07/2009;85,1;78,6;92,1;-14,0;-20,9;-6,8;;98,0
 08/2009;87,5;80,2;95,5;-8,7;-17,2;0,3;;99,8
 09/2009;89,3;81,2;98,2;-4,8;-15,1;6,0;;99,7
 10/2009;89,5;81,7;98,1;-4,3;-13,8;5,7;;93,2
 11/2009;90,8;82,9;99,5;-1,5;-11,2;8,7;;98,6
 12/2009;91,0;83,9;98,7;-1,2;-8,9;6,9;;93,5
 01/2010;90,7;83,9;97,9;-1,9;-8,8;5,4;;80,6
 02/2010;90,7;84,5;97,4;-1,7;-7,5;4,2;;76,5
 03/2010;92,2;85,4;99,6;1,6;-5,3;8,8;;96,8
 04/2010;95,5;90,3;101,1;8,8;5,7;12,0;;100,0
 05/2010;95,5;90,9;100,4;8,8;7,0;10,6;;96,4
 06/2010;96,2;92,3;100,3;10,3;10,3;10,3;;97,3
 07/2010;98,5;94,9;102,2;15,2;16,1;14,4;;99,8
 08/2010;99,8;96,0;103,7;18,1;18,7;17,5;;98,8
 09/2010;100,6;97,9;103,5;20,0;23,0;17,0;;96,5
 10/2010;101,8;98,8;104,8;22,4;25,2;19,7;;99,2
 11/2010;103,4;100,8;106,1;26,1;29,7;22,5;;99,4
 12/2010;103,0;100,4;105,6;25,1;28,8;21,5;;85,7
 01/2011;101,6;99,7;103,6;22,1;27,2;17,2;;27,4
 02/2011;102,6;102,1;103,1;24,2;32,6;16,2;;70,8
 03/2011;102,2;101,9;102,4;23,4;32,3;14,8;;53,3
 04/2011;102,2;102,7;101,7;23,4;34,0;13,3;;72,4
 05/2011;102,5;103,6;101,5;24,1;35,9;12,8;;81,4
 06/2011;101,9;102,5;101,3;22,8;33,5;12,5;;60,2
 07/2011;102,2;103,1;101,3;23,4;35,0;12,5;;82,0
 08/2011;99,6;102,1;97,1;17,7;32,6;3,6;;4,4
 09/2011;98,0;100,2;95,8;14,2;28,3;0,9;;1,5
 10/2011;97,9;100,2;95,7;13,9;28,2;0,6;;10,0
 11/2011;98,1;100,8;95,5;14,5;29,7;0,2;;26,9
 12/2011;98,1;100,9;95,4;14,4;29,8;0,0;;29,0
 01/2012;98,4;100,2;96,8;15,2;28,2;2,9;;27,4
 02/2012;99,3;100,8;97,9;17,1;29,6;5,2;;70,8
 03/2012;99,5;100,4;98,7;17,6;28,7;7,0;;53,3
 04/2012;100,1;101,7;98,6;18,8;31,6;6,7;;72,4
 05/2012;98,9;100,9;96,9;16,1;29,9;3,1;;81,4
 06/2012;96,8;98,9;94,8;11,7;25,4;-1,2;;60,2
 07/2012;95,5;97,5;93,7;8,8;22,1;-3,6;;82,0
 08/2012;95,1;97,3;92,8;7,8;21,7;-5,3;;4,4
 09/2012;94,8;96,2;93,4;7,2;19,3;-4,2;;1,5
 10/2012;94,7;95,7;93,7;7,0;18,1;-3,6;;10,0
 11/2012;94,0;95,2;92,9;5,6;16,9;-5,2;;26,9
 12/2012;95,4;95,6;95,2;8,5;17,8;-0,4;;29,0
 01/2013;96,3;96,5;96,1;10,6;20,0;1,6;;93,7
 02/2013;97,3;95,4;99,3;12,7;17,3;8,3;;97,1
 03/2013;97,6;96,4;98,8;13,4;19,7;7,2;;92,5
 04/2013;96,0;94,1;97,9;9,8;14,5;5,2;;36,3
 05/2013;97,1;95,7;98,5;12,2;18,1;6,5;;79,6
 06/2013;96,5;95,3;97,7;10,9;17,1;4,9;;75,6
 07/2013;98,0;97,1;98,9;14,2;21,3;7,3;;96,1
 08/2013;98,7;96,9;100,4;15,6;20,8;10,6;;97,6
 09/2013;99,0;97,1;100,9;16,3;21,2;11,6;;93,8
 10/2013;98,9;97,9;99,8;16,1;23,1;9,2;;85,4
 11/2013;99,6;97,8;101,3;17,6;22,9;12,5;;93,7
 12/2013;100,4;99,1;101,7;19,4;25,7;13,2;;95,4
 01/2014;101,4;100,1;102,7;21,6;28,0;15,4;;97,0
 02/2014;101,3;99,9;102,8;21,5;27,6;15,5;;91,3
 03/2014;101,2;100,6;101,8;21,3;29,3;13,6;;80,8
 04/2014;102,1;102,2;102,0;23,2;32,9;13,9;;94,2
 05/2014;100,1;99,6;100,6;18,8;27,0;10,9;;46,9
 06/2014;99,8;99,4;100,1;18,1;26,4;10,0;;44,9
 07/2014;99,5;99,2;99,8;17,4;26,0;9,2;;39,4
 08/2014;98,3;98,7;98,0;14,9;24,8;5,5;;13,1
 09/2014;97,7;98,4;97,0;13,5;24,1;3,4;;9,3
 10/2014;96,3;96,6;95,9;10,4;20,2;1,0;;2,7
 11/2014;96,0;96,1;96,0;9,9;18,9;1,2;;8,1
 12/2014;98,2;98,3;98,1;14,7;24,0;5,7;;89,0
 01/2015;98,8;98,8;98,8;16,0;25,1;7,3;;90,5
 02/2015;98,8;98,1;99,5;16,0;23,6;8,6;;84,6
 03/2015;99,1;98,6;99,6;16,6;24,7;8,9;;84,4
 04/2015;100,2;100,3;100,0;19,0;28,6;9,7;;95,8
 05/2015;100,4;100,5;100,2;19,4;29,0;10,2;;96,1
 06/2015;100,1;100,2;100,1;18,9;28,3;9,9;;94,0
 07/2015;99,7;100,6;98,8;17,8;29,1;7,1;;72,7
 08/2015;100,6;100,8;100,3;19,9;29,8;10,4;;95,6
 09/2015;100,1;100,9;99,3;18,8;29,9;8,2;;72,1
 10/2015;100,6;100,2;101,0;19,9;28,2;11,9;;87,5
 11/2015;101,0;100,4;101,6;20,8;28,8;13,1;;88,1
 12/2015;100,6;100,5;100,7;20,0;29,1;11,3;;77,6
 01/2016;99,7;100,1;99,3;18,0;28,2;8,2;;26,2
 02/2016;98,7;99,8;97,6;15,8;27,5;4,7;;11,5
 03/2016;99,2;99,5;98,8;16,7;26,7;7,2;;22,5
 04/2016;100,1;100,3;99,9;18,8;28,5;9,5;;66,7
 05/2016;99,8;100,1;99,4;18,0;28,1;8,5;;71,9
 06/2016;100,0;101,0;99,0;18,6;30,1;7,6;;91,8
 07/2016;100,0;99,8;100,1;18,5;27,5;9,9;;87,5
 08/2016;99,6;99,5;99,8;17,8;26,6;9,3;;82,1
 09/2016;100,8;100,6;101,1;20,4;29,3;11,9;;93,6
 10/2016;101,3;100,6;101,9;21,4;29,2;13,8;;93,8
 11/2016;101,6;102,1;101,1;22,1;32,7;11,9;;92,9
 12/2016;100,9;101,7;100,1;20,6;31,8;10,0;;71,1
 01/2017;101,3;101,9;100,7;21,4;32,2;11,1;;65,1
 02/2017;101,3;102,5;100,0;21,4;33,6;9,7;;67,4
 03/2017;101,9;103,4;100,4;22,7;35,7;10,4;;78,4
 04/2017;103,7;105,2;102,2;26,6;39,7;14,3;;97,4
 05/2017;102,7;104,4;101,0;24,4;37,9;11,7;;88,8
 06/2017;102,7;104,7;100,7;24,4;38,5;11,2;;93,8
 07/2017;103,8;106,7;101,0;26,9;43,1;11,8;;97,6
 08/2017;103,6;105,6;101,7;26,5;40,6;13,2;;91,7
 09/2017;103,9;105,9;101,9;27,1;41,3;13,7;;89,1
 10/2017;104,3;106,3;102,4;28,1;42,1;14,8;;94,8
 11/2017;105,0;106,6;103,4;29,4;42,8;16,8;;92,3
 12/2017;104,7;107,0;102,4;28,8;43,8;14,8;;84,0
 01/2018;105,0;108,5;101,6;29,4;47,1;13,0;;76,5
 02/2018;104,0;107,6;100,5;27,4;45,3;10,8;;47,0
 03/2018;103,9;106,9;100,9;27,1;43,7;11,6;;26,9
 04/2018;103,5;106,5;100,6;26,2;42,5;11,0;;7,6
 05/2018;102,8;106,7;99,1;24,8;43,0;7,9;;18,5
 06/2018;101,7;105,8;97,7;22,2;41,1;4,8;;14,7
